:START_ID,:END_ID,:TYPE
2555,1,HAS_FRAUD
1737,2,HAS_FRAUD
472,3,HAS_FRAUD
3813,4,HAS_FRAUD
2832,5,HAS_FRAUD
1696,6,HAS_FRAUD
496,7,HAS_FRAUD
3600,8,HAS_FRAUD
169,9,HAS_FRAUD
2935,10,HAS_FRAUD
3008,11,HAS_FRAUD
1083,12,HAS_FRAUD
1090,13,HAS_FRAUD
2250,14,HAS_FRAUD
3828,15,HAS_FRAUD
4088,16,HAS_FRAUD
1388,17,HAS_FRAUD
1363,18,HAS_FRAUD
76,19,HAS_FRAUD
164,20,HAS_FRAUD
3339,21,HAS_FRAUD
3258,22,HAS_FRAUD
3873,23,HAS_FRAUD
3213,24,HAS_FRAUD
696,25,HAS_FRAUD
4287,26,HAS_FRAUD
2325,27,HAS_FRAUD
2887,28,HAS_FRAUD
208,29,HAS_FRAUD
2076,30,HAS_FRAUD
2031,31,HAS_FRAUD
1677,32,HAS_FRAUD
3945,33,HAS_FRAUD
3588,34,HAS_FRAUD
2779,35,HAS_FRAUD
3386,36,HAS_FRAUD
2484,37,HAS_FRAUD
40,38,HAS_FRAUD
1953,39,HAS_FRAUD
2596,40,HAS_FRAUD
1928,41,HAS_FRAUD
2559,42,HAS_FRAUD
3063,43,HAS_FRAUD
4280,44,HAS_FRAUD
4378,45,HAS_FRAUD
2522,46,HAS_FRAUD
1801,47,HAS_FRAUD
657,48,HAS_FRAUD
2548,49,HAS_FRAUD
435,50,HAS_FRAUD
750,51,HAS_FRAUD
2160,52,HAS_FRAUD
1893,53,HAS_FRAUD
4308,54,HAS_FRAUD
3486,55,HAS_FRAUD
3451,56,HAS_FRAUD
1434,57,HAS_FRAUD
1234,58,HAS_FRAUD
1973,59,HAS_FRAUD
4337,60,HAS_FRAUD
1672,61,HAS_FRAUD
3309,62,HAS_FRAUD
1707,63,HAS_FRAUD
4101,64,HAS_FRAUD
1487,65,HAS_FRAUD
2098,66,HAS_FRAUD
1185,67,HAS_FRAUD
1799,68,HAS_FRAUD
2900,69,HAS_FRAUD
344,70,HAS_FRAUD
531,71,HAS_FRAUD
1413,72,HAS_FRAUD
588,73,HAS_FRAUD
2592,74,HAS_FRAUD
1295,75,HAS_FRAUD
2482,76,HAS_FRAUD
2154,77,HAS_FRAUD
2798,78,HAS_FRAUD
3420,79,HAS_FRAUD
953,80,HAS_FRAUD
1668,81,HAS_FRAUD
4367,82,HAS_FRAUD
2491,83,HAS_FRAUD
2319,84,HAS_FRAUD
4092,85,HAS_FRAUD
981,86,HAS_FRAUD
322,87,HAS_FRAUD
3788,88,HAS_FRAUD
3790,89,HAS_FRAUD
2377,90,HAS_FRAUD
1016,91,HAS_FRAUD
2865,92,HAS_FRAUD
3133,93,HAS_FRAUD
3490,94,HAS_FRAUD
3044,95,HAS_FRAUD
1409,96,HAS_FRAUD
575,97,HAS_FRAUD
1789,98,HAS_FRAUD
127,99,HAS_FRAUD
790,100,HAS_FRAUD
3063,101,HAS_FRAUD
170,102,HAS_FRAUD
1163,103,HAS_FRAUD
3895,104,HAS_FRAUD
4212,105,HAS_FRAUD
147,106,HAS_FRAUD
427,107,HAS_FRAUD
1387,108,HAS_FRAUD
1758,109,HAS_FRAUD
1541,110,HAS_FRAUD
1786,111,HAS_FRAUD
1884,112,HAS_FRAUD
3555,113,HAS_FRAUD
2642,114,HAS_FRAUD
2051,115,HAS_FRAUD
707,116,HAS_FRAUD
1405,117,HAS_FRAUD
461,118,HAS_FRAUD
4308,119,HAS_FRAUD
1265,120,HAS_FRAUD
159,121,HAS_FRAUD
3157,122,HAS_FRAUD
455,123,HAS_FRAUD
2761,124,HAS_FRAUD
42,125,HAS_FRAUD
4213,126,HAS_FRAUD
1610,127,HAS_FRAUD
1243,128,HAS_FRAUD
3069,129,HAS_FRAUD
1195,130,HAS_FRAUD
2509,131,HAS_FRAUD
409,132,HAS_FRAUD
2031,133,HAS_FRAUD
1452,134,HAS_FRAUD
4269,135,HAS_FRAUD
3780,136,HAS_FRAUD
1297,137,HAS_FRAUD
3107,138,HAS_FRAUD
1608,139,HAS_FRAUD
3729,140,HAS_FRAUD
578,141,HAS_FRAUD
2066,142,HAS_FRAUD
1793,143,HAS_FRAUD
429,144,HAS_FRAUD
3615,145,HAS_FRAUD
3381,146,HAS_FRAUD
3308,147,HAS_FRAUD
321,148,HAS_FRAUD
2030,149,HAS_FRAUD
2928,150,HAS_FRAUD
780,151,HAS_FRAUD
3521,152,HAS_FRAUD
4158,153,HAS_FRAUD
1458,154,HAS_FRAUD
1001,155,HAS_FRAUD
3558,156,HAS_FRAUD
752,157,HAS_FRAUD
3964,158,HAS_FRAUD
1523,159,HAS_FRAUD
629,160,HAS_FRAUD
1446,161,HAS_FRAUD
276,162,HAS_FRAUD
3170,163,HAS_FRAUD
245,164,HAS_FRAUD
1930,165,HAS_FRAUD
1916,166,HAS_FRAUD
3988,167,HAS_FRAUD
2929,168,HAS_FRAUD
615,169,HAS_FRAUD
275,170,HAS_FRAUD
2461,171,HAS_FRAUD
1742,172,HAS_FRAUD
2590,173,HAS_FRAUD
127,174,HAS_FRAUD
269,175,HAS_FRAUD
3988,176,HAS_FRAUD
2469,177,HAS_FRAUD
2055,178,HAS_FRAUD
2746,179,HAS_FRAUD
1318,180,HAS_FRAUD
1781,181,HAS_FRAUD
1092,182,HAS_FRAUD
1463,183,HAS_FRAUD
3203,184,HAS_FRAUD
2354,185,HAS_FRAUD
773,186,HAS_FRAUD
401,187,HAS_FRAUD
3763,188,HAS_FRAUD
3072,189,HAS_FRAUD
678,190,HAS_FRAUD
1421,191,HAS_FRAUD
739,192,HAS_FRAUD
3721,193,HAS_FRAUD
1857,194,HAS_FRAUD
892,195,HAS_FRAUD
540,196,HAS_FRAUD
648,197,HAS_FRAUD
2200,198,HAS_FRAUD
3991,199,HAS_FRAUD
3974,200,HAS_FRAUD
950,201,HAS_FRAUD
960,202,HAS_FRAUD
2445,203,HAS_FRAUD
1534,204,HAS_FRAUD
3249,205,HAS_FRAUD
3297,206,HAS_FRAUD
420,207,HAS_FRAUD
2255,208,HAS_FRAUD
3734,209,HAS_FRAUD
3925,210,HAS_FRAUD
3520,211,HAS_FRAUD
2006,212,HAS_FRAUD
571,213,HAS_FRAUD
4283,214,HAS_FRAUD
912,215,HAS_FRAUD
2402,216,HAS_FRAUD
2278,217,HAS_FRAUD
2804,218,HAS_FRAUD
1066,219,HAS_FRAUD
3536,220,HAS_FRAUD
1484,221,HAS_FRAUD
2670,222,HAS_FRAUD
882,223,HAS_FRAUD
2917,224,HAS_FRAUD
4125,225,HAS_FRAUD
4251,226,HAS_FRAUD
1689,227,HAS_FRAUD
759,228,HAS_FRAUD
3323,229,HAS_FRAUD
904,230,HAS_FRAUD
180,231,HAS_FRAUD
